target,gene_id,study,condition,mean,error
CRT3a,NbL10g04730.1,main,p19o_ag_2,231.116,38.7102238347098
CRT3a,NbL10g04730.1,main,p19o_ag_5,204.9486666666667,4.625318199264183
CRT3a,NbL10g04730.1,main,p19o_ag_7,236.9596666666666,4.065042940869274
CRT3a,NbL10g04730.1,main,p19o_ag_10,244.1253333333333,4.120205388623783
CRT3a,NbL12g10910.1,main,wt_mock_2,34.0232,6.39549419070437
CRT3a,NbL12g10910.1,main,wt_mock_5,28.92856666666667,3.004904136204312
CRT3a,NbL12g10910.1,main,wt_mock_7,40.41216666666667,2.358213134510488
CRT3a,NbL12g10910.1,main,wt_mock_10,46.09773333333333,4.928671947672902
CRT3a,NbL12g10910.1,main,wt_ag_2,394.196,71.34050442070058
CRT3a,NbL12g10910.1,main,wt_ag_5,468.4189999999999,22.70422481242935
CRT3a,NbL12g10910.1,main,wt_ag_7,642.3533333333334,29.42418803373248
CRT3a,NbL12g10910.1,main,wt_ag_10,623.6046666666666,26.84442851153868
CRT3a,NbL12g10910.1,main,p19o_ag_2,465.2190000000001,85.28311633025615
CRT3a,NbL12g10910.1,main,p19o_ag_5,525.147,37.43456924198985
CRT3a,NbL12g10910.1,main,p19o_ag_7,616.872,17.61404757572775
CRT3a,NbL12g10910.1,main,p19o_ag_10,627.7513333333334,27.84531654415951
CSPR,NbL12g13540.1,main,wt_mock_2,1.120426666666667,0.03347175641907332
CSPR,NbL12g13540.1,main,wt_mock_5,1.242892,0.2489869311777896
CSPR,NbL12g13540.1,main,wt_mock_7,1.023933,0.300560291842308
CSPR,NbL12g13540.1,main,wt_mock_10,1.142549,0.1265486203967998
CSPR,NbL12g13540.1,main,wt_ag_2,6.454663333333333,0.6705143805152711
CSPR,NbL12g13540.1,main,wt_ag_5,8.572313333333334,0.3234263089862115
CSPR,NbL12g13540.1,main,wt_ag_7,10.4181,0.4403419845226358
CSPR,NbL12g13540.1,main,wt_ag_10,12.7175,0.3255218784249891
CSPR,NbL12g13540.1,main,p19o_ag_2,9.165196666666667,2.410878821386739
CSPR,NbL12g13540.1,main,p19o_ag_5,10.11973333333333,0.6530128542209392
CSPR,NbL12g13540.1,main,p19o_ag_7,12.12706666666667,0.7370948521805805
CSPR,NbL12g13540.1,main,p19o_ag_10,13.8943,1.071566336412886
HevaA,NbL17g08820.1,main,wt_mock_2,9.33481,0.5552551568723458
HevaA,NbL17g08820.1,main,wt_mock_5,10.49043333333333,0.4266431074224814
HevaA,NbL17g08820.1,main,wt_mock_7,12.58166666666667,1.432591865970362
HevaA,NbL17g08820.1,main,wt_mock_10,11.46296666666667,0.8933194582255805
HevaA,NbL17g08820.1,main,wt_ag_2,13.83876666666667,0.9946081512055106
HevaA,NbL17g08820.1,main,wt_ag_5,21.0788,0.3214709058893719
HevaA,NbL17g08820.1,main,wt_ag_7,27.79133333333334,1.524268874284033
HevaA,NbL17g08820.1,main,wt_ag_10,30.725,1.119419791677814
HevaA,NbL17g08820.1,main,p19o_ag_2,14.91143333333333,1.455623280400682
HevaA,NbL17g08820.1,main,p19o_ag_5,25.3283,1.018093739953908
HevaA,NbL17g08820.1,main,p19o_ag_7,29.2495,1.456748517532568
HevaA,NbL17g08820.1,main,p19o_ag_10,28.92136666666667,0.577918461184428
LIK1,NbL15g22260.1,main,wt_mock_2,32.4303,2.144792494236524
LIK1,NbL15g22260.1,main,wt_mock_5,32.3817,0.3196501681526234
LIK1,NbL15g22260.1,main,wt_mock_7,47.61996666666667,8.267924805401764
LIK1,NbL15g22260.1,main,wt_mock_10,74.82726666666667,11.54799684452291
LIK1,NbL15g22260.1,main,wt_ag_2,40.7252,3.803622348498862
LIK1,NbL15g22260.1,main,wt_ag_5,48.6311,3.818470615748316
LIK1,NbL15g22260.1,main,wt_ag_7,42.15326666666667,3.408305248621048
LIK1,NbL15g22260.1,main,wt_ag_10,43.31813333333333,2.639829095688667
LIK1,NbL15g22260.1,main,p19o_ag_2,41.0011,4.92534163925035
LIK1,NbL15g22260.1,main,p19o_ag_5,56.40533333333334,1.346373576604124
LIK1,NbL15g22260.1,main,p19o_ag_7,43.6826,4.374091992631156
LIK1,NbL15g22260.1,main,p19o_ag_10,40.87946666666667,1.805199917214464
LIK1,NbL05g11890.1,main,wt_mock_2,1.062121666666667,0.08795057752005447
LIK1,NbL05g11890.1,main,wt_mock_5,1.288347333333333,0.3061465358077912
LIK1,NbL05g11890.1,main,wt_mock_7,1.514291333333333,0.3273602173372799
LIK1,NbL05g11890.1,main,wt_mock_10,1.44901,0.2555091359097231
LIK1,NbL05g11890.1,main,wt_ag_2,2.191723333333333,0.3414455212930916
LIK1,NbL05g11890.1,main,wt_ag_5,2.652226666666667,0.2217193207889452
LIK1,NbL05g11890.1,main,wt_ag_7,2.369976666666667,0.855712321370006
LIK1,NbL05g11890.1,main,wt_ag_10,1.88268,0.1178133499792504
LIK1,NbL05g11890.1,main,p19o_ag_2,2.88633,0.7678239587518308
LIK1,NbL05g11890.1,main,p19o_ag_5,3.23169,0.5360445133568666
LIK1,NbL05g11890.1,main,p19o_ag_7,3.314286666666666,1.116086626003755
LIK1,NbL05g11890.1,main,p19o_ag_10,1.94963,0.2197897998088174
LYK3,NbL03g23360.1,main,wt_mock_2,3.255246666666667,0.5064074697426089
LYK3,NbL03g23360.1,main,wt_mock_5,3.284483333333334,0.2585569072972352
LYK3,NbL03g23360.1,main,wt_mock_7,4.257996666666666,0.7327146990094062
LYK3,NbL03g23360.1,main,wt_mock_10,5.430463333333333,0.4405344854202047
LYK3,NbL03g23360.1,main,wt_ag_2,3.63519,0.2994807228075514
LYK3,NbL03g23360.1,main,wt_ag_5,4.233350000000001,0.2910099748004067
LYK3,NbL03g23360.1,main,wt_ag_7,3.878163333333333,0.1496645588567238
LYK3,NbL03g23360.1,main,wt_ag_10,3.05197,0.116847336440902
LYK3,NbL03g23360.1,main,p19o_ag_2,2.708086666666667,0.1132822153345842
LYK3,NbL03g23360.1,main,p19o_ag_5,4.933076666666666,0.8364650250575002
LYK3,NbL03g23360.1,main,p19o_ag_7,4.208100000000001,0.2925800120195045
LYK3,NbL03g23360.1,main,p19o_ag_10,4.027843333333333,0.3963058505049409
LYK3,NbL13g20290.1,main,wt_mock_2,7.512253333333334,1.057608083953808
LYK3,NbL13g20290.1,main,wt_mock_5,8.000193333333334,0.2237004480947182
LYK3,NbL13g20290.1,main,wt_mock_7,8.968336666666666,0.977387023314943
LYK3,NbL13g20290.1,main,wt_mock_10,10.43415666666667,0.7342332861866485
LYK3,NbL13g20290.1,main,wt_ag_2,10.05527,0.8074766811700094
LYK3,NbL13g20290.1,main,wt_ag_5,13.11443333333333,1.248353717679587
LYK3,NbL13g20290.1,main,wt_ag_7,12.7013,1.069508440047732
LYK3,NbL13g20290.1,main,wt_ag_10,13.6514,0.7665698946171402
LYK3,NbL13g20290.1,main,p19o_ag_2,10.01707333333333,0.3678264848780982
LYK3,NbL13g20290.1,main,p19o_ag_5,14.3302,1.057209791542499
LYK3,NbL13g20290.1,main,p19o_ag_7,13.79373333333333,1.973025892998986
LYK3,NbL13g20290.1,main,p19o_ag_10,12.8222,0.4804042707276173
LYM3,NbL04g07070.1,main,wt_mock_2,4.20154,0.7243185769397333
LYM3,NbL04g07070.1,main,wt_mock_5,2.577713333333333,0.1879363304715486
LYM3,NbL04g07070.1,main,wt_mock_7,2.269463333333333,0.1098546497776848
LYM3,NbL04g07070.1,main,wt_mock_10,2.697646666666667,0.47758264333109
LYM3,NbL04g07070.1,main,wt_ag_2,7.67163,0.9740557042763691
LYM3,NbL04g07070.1,main,wt_ag_5,8.602326666666666,0.6478784928861617
LYM3,NbL04g07070.1,main,wt_ag_7,7.931723333333333,0.8452408105254847
LYM3,NbL04g07070.1,main,wt_ag_10,7.560659999999999,0.1420280339698234
LYM3,NbL04g07070.1,main,p19o_ag_2,8.18642,0.7596225386554385
LYM3,NbL04g07070.1,main,p19o_ag_5,9.043366666666666,0.7194127947461346
LYM3,NbL04g07070.1,main,p19o_ag_7,9.01392,0.5709257753275233
LYM3,NbL04g07070.1,main,p19o_ag_10,7.947056666666666,0.4031267457567712
LYM3,NbL14g16690.1,main,wt_mock_2,3.436246666666667,0.5269559932712071
LYM3,NbL14g16690.1,main,wt_mock_5,2.484056666666667,0.4258689548962739
LYM3,NbL14g16690.1,main,wt_mock_7,2.057283333333334,0.5193401872033827
LYM3,NbL14g16690.1,main,wt_mock_10,2.216503333333333,0.4604015925375488
LYM3,NbL14g16690.1,main,wt_ag_2,5.149516666666667,0.04779060728264957
LYM3,NbL14g16690.1,main,wt_ag_5,3.81927,0.4570497128686696
LYM3,NbL14g16690.1,main,wt_ag_7,2.594736666666666,0.5137502449093767
LYM3,NbL14g16690.1,main,wt_ag_10,2.232273333333333,0.2935022456662148
LYM3,NbL14g16690.1,main,p19o_ag_2,5.201743333333333,0.2920613169258204
LYM3,NbL14g16690.1,main,p19o_ag_5,3.88157,0.2519221630451225
LYM3,NbL14g16690.1,main,p19o_ag_7,2.541613333333333,0.3700759210546458
LYM3,NbL14g16690.1,main,p19o_ag_10,1.66061,0.2521156548755616
SOBIR1,NbL11g04700.1,main,wt_mock_2,5.00872,1.52640511402882
SOBIR1,NbL11g04700.1,main,wt_mock_5,5.845580000000001,1.071045190005227
SOBIR1,NbL11g04700.1,main,wt_mock_7,10.41746333333333,0.6520732982912616
SOBIR1,NbL11g04700.1,main,wt_mock_10,10.01822,1.549099218815029
SOBIR1,NbL11g04700.1,main,wt_ag_2,44.06893333333333,9.835562322567588
SOBIR1,NbL11g04700.1,main,wt_ag_5,72.75643333333333,1.409332769236718
SOBIR1,NbL11g04700.1,main,wt_ag_7,121.6463333333333,3.893679936055918
SOBIR1,NbL11g04700.1,main,wt_ag_10,135.4906666666667,3.101891483881694
SOBIR1,NbL11g04700.1,main,p19o_ag_2,66.0739,19.21271899575903
SOBIR1,NbL11g04700.1,main,p19o_ag_5,97.60723333333333,10.63066222401555
SOBIR1,NbL11g04700.1,main,p19o_ag_7,131.9653333333333,1.933167722791909
SOBIR1,NbL11g04700.1,main,p19o_ag_10,138.091,8.312465598926309
SOBIR1,NbL09g04840.1,main,wt_mock_2,1.81694,0.6180131186309883
SOBIR1,NbL09g04840.1,main,wt_mock_5,0.9506773333333335,0.397568970704595
SOBIR1,NbL09g04840.1,main,wt_mock_7,2.717014666666667,1.223779830501295
SOBIR1,NbL09g04840.1,main,wt_mock_10,2.109426666666666,1.111830614337354
SOBIR1,NbL09g04840.1,main,wt_ag_2,27.0424,5.990142868913897
SOBIR1,NbL09g04840.1,main,wt_ag_5,47.4073,0.9742410191186437
SOBIR1,NbL09g04840.1,main,wt_ag_7,72.79516666666667,1.854882706384546
SOBIR1,NbL09g04840.1,main,wt_ag_10,78.26333333333334,2.603965261118345
SOBIR1,NbL09g04840.1,main,p19o_ag_2,41.3774,12.82385219074206
SOBIR1,NbL09g04840.1,main,p19o_ag_5,61.12699999999999,5.810863124642786
SOBIR1,NbL09g04840.1,main,p19o_ag_7,77.55693333333335,2.884815405032203
SOBIR1,NbL09g04840.1,main,p19o_ag_10,72.74266666666666,3.1568161198341
WAK1,NbL19g15890.1,main,wt_mock_2,1.65436,0.290073242187785
WAK1,NbL19g15890.1,main,wt_mock_5,1.77556,0.3175556968995097
WAK1,NbL19g15890.1,main,wt_mock_7,3.539556666666667,1.328145497166799
WAK1,NbL19g15890.1,main,wt_mock_10,3.8101,0.4025556106096813
WAK1,NbL19g15890.1,main,wt_ag_2,4.49353,0.9920807387170327
WAK1,NbL19g15890.1,main,wt_ag_5,4.446626666666667,0.2398287988220856
WAK1,NbL19g15890.1,main,wt_ag_7,4.46112,0.3124724463052703
WAK1,NbL19g15890.1,main,wt_ag_10,3.973996666666667,0.507525596935213
WAK1,NbL19g15890.1,main,p19o_ag_2,6.601656666666667,1.355884499386942
WAK1,NbL19g15890.1,main,p19o_ag_5,5.286026666666667,0.2475984771313786
WAK1,NbL19g15890.1,main,p19o_ag_7,4.934943333333333,1.359809763684285
WAK1,NbL19g15890.1,main,p19o_ag_10,3.705406666666667,0.4101663806446247
NOA1,NbL13g10330.1,main,wt_mock_2,19.81183333333334,1.634469016055197
NOA1,NbL13g10330.1,main,wt_mock_5,19.26816666666667,1.748882649325309
NOA1,NbL13g10330.1,main,wt_mock_7,20.17293333333333,1.088403761376162
NOA1,NbL13g10330.1,main,wt_mock_10,23.8431,1.947613455830837
NOA1,NbL13g10330.1,main,wt_ag_2,20.08086666666667,1.514052295808981
NOA1,NbL13g10330.1,main,wt_ag_5,19.6098,1.542620450186414
NOA1,NbL13g10330.1,main,wt_ag_7,16.8115,0.8832531705764395
NOA1,NbL13g10330.1,main,wt_ag_10,13.54553333333333,0.6475591358667131
NOA1,NbL13g10330.1,main,p19o_ag_2,21.4333,2.229506919328426
NOA1,NbL13g10330.1,main,p19o_ag_5,19.4837,2.02299211071126
NOA1,NbL13g10330.1,main,p19o_ag_7,16.8394,0.6517030305284766
NOA1,NbL13g10330.1,main,p19o_ag_10,14.07106666666667,1.415748542095116
NOA1,NbL03g10660.1,main,wt_mock_2,11.25538333333333,1.084720828267706
NOA1,NbL03g10660.1,main,wt_mock_5,8.66061,0.1704223988604004
NOA1,NbL03g10660.1,main,wt_mock_7,7.622856666666667,0.9307451401490697
NOA1,NbL03g10660.1,main,wt_mock_10,6.845016666666666,0.4859605622315914
NOA1,NbL03g10660.1,main,wt_ag_2,11.06853333333333,0.497628108575515
NOA1,NbL03g10660.1,main,wt_ag_5,9.976363333333333,0.3055344999795896
NOA1,NbL03g10660.1,main,wt_ag_7,8.566863333333332,0.321576442251467
NOA1,NbL03g10660.1,main,wt_ag_10,6.54615,0.3747038252184427
NOA1,NbL03g10660.1,main,p19o_ag_2,11.27633333333333,0.2241444499523565
NOA1,NbL03g10660.1,main,p19o_ag_5,9.053863333333334,0.5568510209602248
NOA1,NbL03g10660.1,main,p19o_ag_7,6.856303333333333,0.1884958801789697
NOA1,NbL03g10660.1,main,p19o_ag_10,5.972736666666667,0.1840483032008475
Peroxidase 72-like,NbL02g14280.1,main,wt_mock_2,0.0,0.0
Peroxidase 72-like,NbL02g14280.1,main,wt_mock_5,0.04660923333333333,0.02330592823012587
Peroxidase 72-like,NbL02g14280.1,main,wt_mock_7,0.0226351,0.02263510000000001
Peroxidase 72-like,NbL02g14280.1,main,wt_mock_10,0.0,0.0
Peroxidase 72-like,NbL02g14280.1,main,wt_ag_2,0.6050533333333333,0.2443793773141352
Peroxidase 72-like,NbL02g14280.1,main,wt_ag_5,0.651188,0.14244896802832
Peroxidase 72-like,NbL02g14280.1,main,wt_ag_7,0.6354700000000001,0.1370130894817475
Peroxidase 72-like,NbL02g14280.1,main,wt_ag_10,1.333363333333333,0.1445056308399242
Peroxidase 72-like,NbL02g14280.1,main,p19o_ag_2,0.7656206666666666,0.1777123132240545
Peroxidase 72-like,NbL02g14280.1,main,p19o_ag_5,0.8542296666666666,0.1446985916429198
Peroxidase 72-like,NbL02g14280.1,main,p19o_ag_7,0.8634856666666666,0.03340040002421794
Peroxidase 72-like,NbL02g14280.1,main,p19o_ag_10,0.7374196666666667,0.1214640501003395
RbohA,NbL10g23180.1,main,wt_mock_2,1.425896666666667,0.2871530013966615
RbohA,NbL10g23180.1,main,wt_mock_5,1.5173,0.2230542423567266
RbohA,NbL10g23180.1,main,wt_mock_7,1.79285,0.264878101020073
RbohA,NbL10g23180.1,main,wt_mock_10,1.25835,0.1197452814658403
RbohA,NbL10g23180.1,main,wt_ag_2,2.297143333333333,0.3394138307107973
RbohA,NbL10g23180.1,main,wt_ag_5,2.846446666666667,0.2138878507016652
RbohA,NbL10g23180.1,main,wt_ag_7,4.686923333333334,0.613592191071924
RbohA,NbL10g23180.1,main,wt_ag_10,4.988436666666666,0.2645323928074679
RbohA,NbL10g23180.1,main,p19o_ag_2,2.322866666666667,0.1371952130279251
RbohA,NbL10g23180.1,main,p19o_ag_5,3.571123333333333,0.12503407553321
RbohA,NbL10g23180.1,main,p19o_ag_7,5.23724,0.9958754421278463
RbohA,NbL10g23180.1,main,p19o_ag_10,4.769906666666667,0.7431246186280677
RbohA,NbL17g26900.1,main,wt_mock_2,1.87258,0.05753871073749677
RbohA,NbL17g26900.1,main,wt_mock_5,2.439183333333333,0.3892984513340775
RbohA,NbL17g26900.1,main,wt_mock_7,3.29413,0.5593791238805157
RbohA,NbL17g26900.1,main,wt_mock_10,4.016003333333333,0.5339841436576349
RbohA,NbL17g26900.1,main,wt_ag_2,3.471176666666667,0.5911337491164284
RbohA,NbL17g26900.1,main,wt_ag_5,6.810553333333334,0.8871278328466035
RbohA,NbL17g26900.1,main,wt_ag_7,10.13462,1.394932291271993
RbohA,NbL17g26900.1,main,wt_ag_10,10.81416666666667,0.58876756685281
RbohA,NbL17g26900.1,main,p19o_ag_2,3.37243,0.3051010090117697
RbohA,NbL17g26900.1,main,p19o_ag_5,8.774733333333332,0.7041496304605847
RbohA,NbL17g26900.1,main,p19o_ag_7,8.957189999999999,1.322346402586453
RbohA,NbL17g26900.1,main,p19o_ag_10,10.27855,0.7433802733684381
RbohB,NbL07g17410.1,main,wt_mock_2,7.169356666666666,0.4612375784897745
RbohB,NbL07g17410.1,main,wt_mock_5,6.188003333333334,0.8390091212522333
RbohB,NbL07g17410.1,main,wt_mock_7,8.432606666666667,1.292181249945653
RbohB,NbL07g17410.1,main,wt_mock_10,7.725836666666666,1.026028787223395
RbohB,NbL07g17410.1,main,wt_ag_2,19.21866666666667,3.331474945792695
RbohB,NbL07g17410.1,main,wt_ag_5,22.3828,1.272266367550444
RbohB,NbL07g17410.1,main,wt_ag_7,22.70753333333333,1.734544310314512
RbohB,NbL07g17410.1,main,wt_ag_10,23.3736,0.9601913767577799
RbohB,NbL07g17410.1,main,p19o_ag_2,24.0765,5.439154557772129
RbohB,NbL07g17410.1,main,p19o_ag_5,23.94183333333334,1.135715281710654
RbohB,NbL07g17410.1,main,p19o_ag_7,25.12173333333334,1.256565910638108
RbohB,NbL07g17410.1,main,p19o_ag_10,23.3553,0.4133256504662312
RbohB,NbL03g20890.1,main,wt_mock_2,29.44106666666666,3.584270937644703
RbohB,NbL03g20890.1,main,wt_mock_5,26.48223333333334,1.975865240287853
RbohB,NbL03g20890.1,main,wt_mock_7,31.5163,9.53541136623551
RbohB,NbL03g20890.1,main,wt_mock_10,34.22556666666667,2.1878430171696
